Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId
nikosantis/oqo-cowork-react,No Dependent,,,,,,,,,,,,,,,,
zloid/experiments-repo,No Dependent,,,,,,,,,,,,,,,,
samsdial/DialReact,No Dependent,,,,,,,,,,,,,,,,
fwelpe/todolist,No Dependent,,,,,,,,,,,,,,,,
taiwanhua/fdtmpage,No Dependent,,,,,,,,,,,,,,,,
speedwar/styled-components-app,No Dependent,,,,,,,,,,,,,,,,
james-gc/kabra-frontend,No Dependent,,,,,,,,,,,,,,,,
slaytanic/onboarding,No Dependent,,,,,,,,,,,,,,,,
omegasenior/topbiketoursportugal,No Dependent,,,,,,,,,,,,,,,,
paxxlaws/library,No Dependent,,,,,,,,,,,,,,,,
rickhysis/spacetock-search-property,No Dependent,,,,,,,,,,,,,,,,
rmozeika/monorift,No Dependent,,,,,,,,,,,,,,,,
sjohn2/nextjs-styled-component,No Dependent,,,,,,,,,,,,,,,,
rmozeika/rift,No Dependent,,,,,,,,,,,,,,,,
taiwanhua/fdtm,No Dependent,,,,,,,,,,,,,,,,
reginaldoMorais/react-parcel,No Dependent,,,,,,,,,,,,,,,,
jcquinlan/publist,No Dependent,,,,,,,,,,,,,,,,
oxfoundation/oxyn.io,No Dependent,,,,,,,,,,,,,,,,
murphym757/Souse,No Dependent,,,,,,,,,,,,,,,,
dassishot/centauro,No Dependent,,,,,,,,,,,,,,,,
sylvesteraswin/sylvesteraswin.com,No Dependent,,,,,,,,,,,,,,,,
javierh2k/store-app,No Dependent,,,,,,,,,,,,,,,,
MakowskiHubert/react-venture,No Dependent,,,,,,,,,,,,,,,,
javierh2k/store-ui,No Dependent,,,,,,,,,,,,,,,,
Ideal-Poster/ecommerce-site,No Dependent,,,,,,,,,,,,,,,,
jbarriospd/react-graphQl,No Dependent,,,,,,,,,,,,,,,,
lugithub/l-styled-components,No Dependent,,,,,,,,,,,,,,,,
sky-blue-closing/website,No Dependent,,,,,,,,,,,,,,,,
agaco/mobx_hooks_styled_components,No Dependent,,,,,,,,,,,,,,,,
davirlein1988/hookingUp,No Dependent,,,,,,,,,,,,,,,,
javierh2k/react-hooks,No Dependent,,,,,,,,,,,,,,,,
codeTest19/guess-the-password,No Dependent,,,,,,,,,,,,,,,,
santaclauze/video-lib-player,No Dependent,,,,,,,,,,,,,,,,
jaimepater/ReactTestRegions,No Dependent,,,,,,,,,,,,,,,,
santaclauze/video-library-player-example,No Dependent,,,,,,,,,,,,,,,,
rollup-umd/word-documentation,No Dependent,,,,,,,,,,,,,,,,
qmfkdldks/remori,No Dependent,,,,,,,,,,,,,,,,
santaclauze/mediaApp,No Dependent,,,,,,,,,,,,,,,,
sorokinvj/orphans,No Dependent,,,,,,,,,,,,,,,,
Keone2399/e-commerse,No Dependent,,,,,,,,,,,,,,,,
burningpony/Credence_Goods,No Dependent,,,,,,,,,,,,,,,,
christensenemc/schema-builder,No Dependent,,,,,,,,,,,,,,,,
bootstrap-styled/login-form,fwelpe/todolist,213410971.0,https://github.com/fwelpe/todolist,todolist,fwelpe,1.0,1.0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0.0,False,,,0.0,[],
leoman/travelling-blog-v1,No Dependent,,,,,,,,,,,,,,,,
bootstrap-styled/ra-ui,bootstrap-styled/react-admin,170669410.0,https://github.com/bootstrap-styled/react-admin,react-admin,bootstrap-styled,15.0,3.0,"[{'tagName': 'v1.0.4', 'author': {'login': 'kopax', 'databaseId': 1866564}, 'createdAt': '2019-03-11T10:37:33Z', 'publishedAt': '2019-03-11T10:37:48Z', 'updatedAt': '2019-03-11T10:37:48Z', 'isLatest': True}]",JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}]",0.0,False,,,0.0,[],MIT
gustavoleste/react-redux-saga-exemplo,No Dependent,,,,,,,,,,,,,,,,
Floo0/JsMqttClient,No Dependent,,,,,,,,,,,,,,,,
tylim88/to-do-list-SSR-Static,No Dependent,,,,,,,,,,,,,,,,
jramirezs/graphql-imageboard,No Dependent,,,,,,,,,,,,,,,,
norama/to-do-hooks,No Dependent,,,,,,,,,,,,,,,,
