Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId,data.repository.primaryLanguage
bootstrap-styled/v4,open-church/diaconiaonline,254713354,https://github.com/open-church/diaconiaonline,diaconiaonline,open-church,13,1,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],BSD-2-Clause,
bootstrap-styled/v4,smkamranqadri/bundle-size-test-ui-lib,253008937,https://github.com/smkamranqadri/bundle-size-test-ui-lib,bundle-size-test-ui-lib,smkamranqadri,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,annkettles/recipeboss,187912931,https://github.com/annkettles/recipeboss,recipeboss,annkettles,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,kimze80/reactjs-origin,252551029,https://github.com/kimze80/reactjs-origin,reactjs-origin,kimze80,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,isyviel/cv,251415291,https://github.com/isyviel/cv,cv,isyviel,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Etiqa/laspesasottocasa,250982445,https://github.com/Etiqa/laspesasottocasa,laspesasottocasa,Etiqa,0,2,[],HTML,"[{'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,peterbartels/meta-hub-codeforall,250583532,https://github.com/peterbartels/meta-hub-codeforall,meta-hub-codeforall,peterbartels,1,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",1,False,,,0,[],,
bootstrap-styled/v4,fbohz/reactAvanzadoStorybooks,247466207,https://github.com/fbohz/reactAvanzadoStorybooks,reactAvanzadoStorybooks,fbohz,0,2,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],,
bootstrap-styled/v4,sagarprince/react-zomato-clone,247444227,https://github.com/sagarprince/react-zomato-clone,react-zomato-clone,sagarprince,0,0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Build-Week-mdd-cabinet1/front-end,243870867,https://github.com/Build-Week-mdd-cabinet1/front-end,front-end,Build-Week-mdd-cabinet1,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",1,False,,,0,[],MIT,
